BLOCK_GEOID20,lat,lon,poverty_rate_est,Median_Income_BG,poverty_norm,need_score,prob_old,prob_new,access_change,priority_after_move,risk_of_being_worse_off
361090013022000,42.4394997,-76.455211,1.5,-666666666,0,0.4,0,0.1253336389,0.1253336389,0.3498665444,0
361090019022004,42.3944253,-76.4133862,4,97022,0.03759398496,0.02263917979,0,0.0838152027,0.0838152027,0.02074167235,0
361090020001004,42.5094938,-76.2858856,29.8,50086,0.4255639098,0.2554492863,0,0.01252869974,0.01252869974,0.2522488389,0
361090020002012,42.4831192,-76.2792247,11.3,90833,0.1473684211,0.08850755353,0,0.01356079666,0.01356079666,0.0873073206,0
361090005003008,42.4706907,-76.4737029,8.6,77442,0.1067669173,0.06415468305,0,0.1230100188,0.1230100188,0.05626301428,0
361090011001020,42.4262785,-76.505782,46.4,30657,0.6751879699,0.4052353757,0,0.2383122199,0.2383122199,0.3086628337,0
361090021001033,42.5509247,-76.2937043,10.1,86200,0.1293233083,0.07768326468,0,0.009926675327,0.009926675327,0.07691212814,0
361090019012067,42.311409,-76.3155181,7.7,89943,0.09323308271,0.05602688434,0,0.01971429828,0.01971429828,0.05492235363,0
361090019021015,42.3597057,-76.4917687,4.5,87429,0.04511278195,0.02715621175,0,0.1879816907,0.1879816907,0.02205134116,0
361090016001070,42.5046407,-76.5932978,3.2,69946,0.02556390977,0.01543737455,0,0.1774766231,0.1774766231,0.01269760144,0
361090019012028,42.3814747,-76.3925425,7.7,89943,0.09323308271,0.05602688434,0,0.06429720216,0.06429720216,0.05242451243,0
361090007002016,42.450037,-76.5013686,2.5,101360,0.01503759398,0.009102743319,0,0.1944425336,0.1944425336,0.007332782845,0
361090001002003,42.4419266,-76.4999998,16.3,36495,0.222556391,0.1336529268,0,0.2036537589,0.2036537589,0.1064340059,0
361090022002008,42.5795728,-76.3628577,8.8,78750,0.1097744361,0.0659584098,0,0.01440240783,0.01440240783,0.06500844988,0
361090014002032,42.4432141,-76.4462405,17.2,71719,0.2360902256,0.1417521006,0,0.1110532273,0.1110532273,0.1260100723,0
361090022001046,42.5900326,-76.2749642,3.6,58821,0.03157894737,0.01905306975,0,0.005764579329,0.005764579329,0.01894323682,0
361090023002005,42.6192161,-76.5323531,2.2,100688,0.01052631579,0.00639637946,0,0.02445755557,0.02445755557,0.006239939653,0
361090018002013,42.3659599,-76.5758704,9.5,64344,0.1203007519,0.07228283983,0,0.4652129814,0.4652129814,0.03865592441,0
361090007003001,42.4478781,-76.4966713,8.3,69397,0.1022556391,0.06145274143,0,0.1882182956,0.1882182956,0.04988621117,0
361090013022017,42.4253225,-76.4495137,1.5,-666666666,0,0.4,0,0.1243405179,0.1243405179,0.3502637928,0
