Pantry,Lat,Long
New Enfield,42.422757, -76.573471
A,42.41878457,-76.51849251
B,42.44083863,-76.50911682
C,42.44084334,-76.5071945
D,42.44118249,-76.50215328
E,42.44128202,-76.50058435
F,42.44898265,-76.50348846
G,42.43321572,-76.45738755
Extra A,42.4744076541289,-76.76640987712186
Extra B,42.54802784546867,-76.65696857392378
